대명칭,경도,위도
은행나무공원화장실,127.0437917,37.64964952
돈암1동주민센터,127.0263999,37.60342801
뱃골공원화장실,127.0450197,37.64658205
노원골공중화장실,127.0620735,37.67471204
양지공중화장실,127.0891377,37.5903468
서초4동주민센터,127.0153542,37.49592026
봉화공중화장실,127.0774472,37.59815927
상월곡동공중화장실,127.0452355,37.61043892
방배3동주민센터,126.9990533,37.4803704
구로1치안센터,126.8751806,37.49117468
계남근린공원입구화장실,126.8543519,37.50749168
고척근린공원소공원화장실,126.8525501,37.50344743
서초1동주민센터,127.0190496,37.48881439
홍제제2동주민센터,126.9494006,37.58609019
중랑천제방2화장실,127.0782609,37.5679182
신촌동주민센터,126.9434999,37.55955452
평강공원화장실,127.1006935,37.54807013
긴고랑어린이공원화장실,127.0910671,37.55890842
연회동주민센터,126.9352923,37.57393264
전농2공중화장실,127.050621,37.58287744
한빛어린이공원화장실,127.0228908,37.62772895
왕십리제2동주민센터,127.0305218,37.56108729
버드나무어린이공원화장실,127.0343037,37.6340597
체육광장공중화장실,126.9030349,37.58437441
남현동주민센터,126.9778359,37.47470999
새락골공원화장실,126.9112122,37.5989763
번남어린이공원화장실,127.0249482,37.6357842
송정동주민센터,127.0695676,37.55452123
봉수대공원화장실,127.0915329,37.60664047
남가좌제2동주민센터,126.9238966,37.57841112
샛강어린이공원화장실,127.0329993,37.63934738
마장동주민센터,127.0454648,37.56630316
꿈나라어린이공원화장실,127.0230546,37.58006665
양재1동주민센터,127.0360974,37.48449335
석관동주민센터,127.0614173,37.61298082
풍납1동주민센터,127.1220894,37.53807181
충숙공중화장실,127.0776372,37.64033527
장위2동주민센터,127.0545501,37.61239362
상암동주민센터,126.8947559,37.57833783
목련공원화장실,127.0905388,37.54061263
금모래공원화장실,127.0824409,37.53020325
월천근린공원화장실,127.050902,37.64757383
"상계6,7동주민센터",127.066999,37.65491935
창경궁공중화장실,126.9968089,37.57992921
종암1동주민센터,127.0315065,37.60006421
금호1가동주민센터,127.0216718,37.55487493
성북2동공중화장실,126.9938352,37.59625163
방배1동주민센터,126.9944947,37.4833481
삼선어린이공원화장실,127.0090132,37.58236297
응봉동주민센터,127.0334214,37.55314603
정릉2동주민센터,127.0111848,37.60445041
창골공원화장실,127.0486333,37.64308573
성북동주민센터,127.0032649,37.59103856
장지동주민센터,127.1324088,37.48697731
중계공중화장실,127.0657916,37.63970131
응달어린이공원화장실,127.0243007,37.61821628
행당제1동주민센터,127.036171,37.55846882
성수2가제3동주민센터,127.0553392,37.5482078
벌말어린이공원화장실,127.0398433,37.62971654
성수1가제2동주민센터,127.0443838,37.54631685
휘경1동주민센터,127.0595918,37.59004792
이수지구대/방배본동주민센터,126.9888342,37.4941072
성삼공원공중화장실,127.0602051,37.54206444
회기동주민센터,127.055406,37.59083478
합정동주민센터,126.9057197,37.54952055
언덕배기공원화장실,127.0878849,37.53202081
마포구청,126.9085394,37.56352708
북악숲속공중화장실,126.9935398,37.61066008
서초2동주민센터,127.0250676,37.49213153
효자공원화장실,127.0510359,37.65006225
월곡2동주민센터,127.0478842,37.60578644
모랫공원화장실,127.0518019,37.64683976
송파2동주민센터,127.1167447,37.50232321
방배4동주민센터,126.991373,37.48961403
오거리공중화장실,127.084358,37.57688226
반포1동주민센터,127.0132351,37.50511145
서초4동주민센터,127.0220786,37.50277397
